index,Name,Email,Affiliation,Verified
Dmitrii Ustiugov,Mario Drumond,/citations?user=ydB95O0AAAAJ&hl=en,CodeDepot,Verified email at codedepot.ch
Dmitrii Ustiugov,Plamen Petrov,/citations?user=tTMFHxkAAAAJ&hl=en,Huawei Research,Verified email at huawei.com
Dmitrii Ustiugov,Marios Kogias,/citations?user=DYzTOKYAAAAJ&hl=en,EPFL,Verified email at epfl.ch
Dmitrii Ustiugov,Stanko Novakovic,/citations?user=ftKKNt8AAAAJ&hl=en,Google,Verified email at google.com
Dmitrii Ustiugov,Mark Sutherland,/citations?user=D2CMU4QAAAAJ&hl=en,Oracle Corp.,Verified email at epfl.ch
Dmitrii Ustiugov,Theodor Amariucai,/citations?user=3_pP0esAAAAJ&hl=en,ETH Zurich,Verified email at student.ethz.ch
Dmitrii Ustiugov,Amna Shahab,/citations?user=eYeWgY0AAAAJ&hl=en,"PhD student, University of Edinburgh",Verified email at ed.ac.uk
Dmitrii Ustiugov,Andreas Sandberg,/citations?user=9ZU5vrkAAAAJ&hl=en,"Principal Engineer, Arm Ltd.",Verified email at arm.com
Dmitrii Ustiugov,David Schall,/citations?user=ZmmKWBcAAAAJ&hl=en,"PhD Student, University of Edinburgh",Verified email at ed.ac.uk
Dmitrii Ustiugov,M.R. Siavash Katebzadeh,/citations?user=-Mv1fwsAAAAJ&hl=en,Ph.D. Student at The University of Edinburgh,Verified email at ed.ac.uk
Dmitrii Ustiugov,Pedro Fonseca,/citations?user=PEUwULwAAAAJ&hl=en,"Assistant Professor, Department of Computer Science, Purdue University",Verified email at purdue.edu
Dmitrii Ustiugov,Rodrigo Bruno,/citations?user=aNVwYMAAAAAJ&hl=en,"Instituto Superior Técnico (University of Lisbon), INESC-ID Lisbon",Verified email at tecnico.ulisboa.pt
Douglas Leslie Maskell,,,,
Dusit Niyato,Ping Wang,/citations?user=3sIHxrcAAAAJ&hl=en,"York University, IEEE Fellow, York Research Chair, IEEE VTS Distinguished Lecturer",Verified email at yorku.ca
Dusit Niyato,Zehui Xiong,/citations?user=n4CH4M4AAAAJ&hl=en,Singapore University of Technology and Design (SUTD),Verified email at sutd.edu.sg
Dusit Niyato,Dong In Kim,/citations?user=v2chr7kAAAAJ&hl=en,Sungkyunkwan University (SKKU),Verified email at skku.ac.kr
Dusit Niyato,Zhu Han,/citations?user=ty7wIXoAAAAJ&hl=en,University of Houston,Verified email at uh.edu
Dusit Niyato,Ekram Hossain,/citations?user=Lb617EMAAAAJ&hl=en,"Professor, University of Manitoba, Canada, IEEE Fellow",Verified email at umanitoba.ca
Dusit Niyato,Dinh Thai Hoang,/citations?user=-esKZ8YAAAAJ&hl=en,"University of Technology Sydney (UTS), Australia",Verified email at uts.edu.au
Dusit Niyato,Chunyan Miao,/citations?user=fmXGRJgAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Dusit Niyato,Nguyen Cong Luong,/citations?user=g_A5WeIAAAAJ&hl=en,Phenikaa University,Verified email at phenikaa-uni.edu.vn
Dusit Niyato,Wei Yang Bryan Lim,/citations?user=K2CHjf0AAAAJ&hl=en,"Assistant Professor, Nanyang Technological University (NTU), Singapore",Verified email at e.ntu.edu.sg
Dusit Niyato,Yang ZHANG | 章阳,/citations?user=qGAQ--gAAAAJ&hl=en,Nanjing University of Aeronautics and Astronautics | 南京航空航天大学,Verified email at nuaa.edu.cn
Dusit Niyato,Shimin Gong,/citations?user=AKffc_QAAAAJ&hl=en,Sun Yat-sen University,Verified email at e.ntu.edu.sg
Dusit Niyato,Shaohan FENG,/citations?user=sy_V308AAAAJ&hl=en,"Institute for Infocomm Research (I2R), A*STAR",Verified email at i2r.a-star.edu.sg
Dusit Niyato,Cyril Leung,/citations?user=8NHgUicAAAAJ&hl=en,"Professor, Department of Electrical and Computer Engineering, University of British Columbia (UBC)",Verified email at ece.ubc.ca
Dusit Niyato,Kun Zhu,/citations?user=XRLvEPYAAAAJ&hl=en,Nanjing University of Aeronautics and Astronautics,Verified email at nuaa.edu.cn
Dusit Niyato,Mohammad Abu Alsheikh,/citations?user=HVbo8agAAAAJ&hl=en,"Associate Professor, University of Canberra",Verified email at canberra.edu.au
Dusit Niyato,YONG XIAO,/citations?user=pAbn0-8AAAAJ&hl=en,"Huazhong University of Science and Technology, Wuhan, China",Verified email at ntu.edu.sg
Dusit Niyato,Han Yu,/citations?user=eXgoTXMAAAAJ&hl=en,"Nanyang Assistant Professor, Nanyang Technological University, Singapore",Verified email at ntu.edu.sg
Dusit Niyato,Wenbo Wang (王闻博),/citations?user=sQqlQIQAAAAJ&hl=en,Kunming University of Science & Technology,Verified email at kust.edu.cn
Dusit Niyato,Walid Saad,/citations?user=kYDNA0UAAAAJ&hl=en,"Professor, Electrical and Computer Engineering, Virginia Tech",Verified email at vt.edu
Dusit Niyato,Yutao Jiao,/citations?user=XGEv5FYAAAAJ&hl=en,Nanyang Technological University,Verified email at e.ntu.edu.sg
Erik Cambria,Björn Schuller,/citations?user=TxKNCSoAAAAJ&hl=en,"Professor of AI, Imperial College London & University of Augsburg & CSO, audEERING",Verified email at imperial.ac.uk
Erik Cambria,Catherine Havasi,/citations?user=5l9YJ0oAAAAJ&hl=en,MIT Media Lab,Verified email at media.mit.edu
Erik Cambria,Rui Mao,/citations?user=s_JzI5kAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Erik Cambria,Yang LI,/citations?user=jtogpBkAAAAJ&hl=en,"Associate Professor, Northwestern Polytechnical University",Verified email at nwpu.edu.cn
Erik Cambria,Shaoxiong Ji,/citations?user=t3ZA0WsAAAAJ&hl=en,University of Helsinki,Verified email at helsinki.fi
Erik Cambria,Louis-Philippe Morency,/citations?user=APgaFK0AAAAJ&hl=en,"Associate professor,  Carnegie Mellon University",Verified email at cs.cmu.edu
Erik Cambria,Yunqing Xia,/citations?user=GYCnxiwAAAAJ&hl=en,Microsoft,Verified email at microsoft.com
Erik Cambria,Newton Howard,/citations?user=IKBvzyIAAAAJ&hl=en,"Professor of Computational Neuroscience and Functional Neurosurgery, University of Oxford",Verified email at nds.ox.ac.uk
Erik Cambria,Tom Young,/citations?user=e5OaB-IAAAAJ&hl=en,"Research Fellow, National University of Singapore",Verified email at sentic.net
Erik Cambria,Kenneth Kwok,/citations?user=FXBcp8kAAAAJ&hl=en,Institute of High Performance Computing,Verified email at ihpc.a-star.edu.sg
Erik Cambria,Paolo Gastaldo,/citations?user=6WSCkpEAAAAJ&hl=en,"Associate Professor, University of Genoa",Verified email at unige.it
Erik Cambria,Rodolfo Zunino,/citations?user=xYdmXmgAAAAJ&hl=en,"Professor of Electronics, Genoa University",Verified email at unige.it
Erik Cambria,Guang-Bin Huang,/citations?user=LhSqQCIAAAAJ&hl=en,"Full Professor, Nanyang Technological University, Singapore",Verified email at ntu.edu.sg
Erik Cambria,Dr. Ranjan Satapathy,/citations?user=-eQVwhEAAAAJ&hl=en,"A*STAR, Singapore",Verified email at ihpc.a-star.edu.sg
Erik Cambria,Rada Mihalcea,/citations?user=UetM7FgAAAAJ&hl=en,"Professor of Computer Science, University of Michigan",Verified email at umich.edu
Erik Cambria,Roger Zimmermann,/citations?user=IDREwXEAAAAJ&hl=en,"Professor of Computer Science, National University of Singapore",Verified email at comp.nus.edu.sg
Erik Cambria,Luca Oneto,/citations?user=6iuNKAIAAAAJ&hl=en,DIBRIS - University of Genoa,Verified email at unige.it
Erik Cambria,WEI LI,/citations?user=LYsrBVQAAAAJ&hl=en,NanyangTechnological University,Verified email at e.ntu.edu.sg
Erik Cambria,Edoardo Ragusa,/citations?user=kGlvrBAAAAAJ&hl=en,University of Genova,Verified email at unige.it
Erik Cambria,Shirui Pan,/citations?user=frWRJN4AAAAJ&hl=en,"Full Professor, ARC Future Fellow, FQA, Griffith University",Verified email at griffith.edu.au
Goh Wooi Boon,Peng Song,/citations?user=DonXkFQAAAAJ&hl=en,"Assistant Professor of Computer Science, SUTD",Verified email at sutd.edu.sg
Goh Wooi Boon,Wenjie Wang,/citations?user=dyFXsaUAAAAJ&hl=en,Phd student of Nanyang Technological University,Verified email at e.ntu.edu.sg
Goh Wooi Boon,Anh (Paul) Nguyen,/citations?user=dk7XvIsAAAAJ&hl=en,"Manager, Analytics at Expedia Group",Verified email at hotels.com
Goh Wooi Boon,Janusz Starzyk,/citations?user=JfcmdF8AAAAJ&hl=en,Ohio University,Verified email at ohio.edu
Goh Wooi Boon,Xiaopei Liu,/citations?user=dK02t3MAAAAJ&hl=en,"Associate Professor, School of Information Science and Technology, ShanghaiTech University",Verified email at shanghaitech.edu.cn
Goh Wooi Boon,Yanwu Xu,/citations?user=0jP8f7sAAAAJ&hl=en,"South China University of Technology, Baidu, CVTE, I2R, NTU, USTC",Verified email at scut.edu.cn
Goh Wooi Boon,Ying Shan,/citations?user=4oXBp9UAAAAJ&hl=en,"Distinguished Scientist at Tencent, Director of ARC Lab & AI Lab CVC",Verified email at tencent.com
Goh Wooi Boon,Pheng Ann Heng,/citations?user=OFdytjoAAAAJ&hl=en,"Professor, Computer Science & Engineering, Chinese University of Hong Kong",Verified email at cse.cuhk.edu.hk
Goh Wooi Boon,Graham R Martin,/citations?user=cU9BkBgAAAAJ&hl=en,"Emeritus Professor of Computer Science, University of Warwick",Verified email at warwick.ac.uk
Goh Wooi Boon,Daniel Jachyra,/citations?user=zNvZBlcAAAAJ&hl=en,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,Verified email at wsiz.rzeszow.pl
Goh Wooi Boon,Schubert Foo,/citations?user=wdK1ehkAAAAJ&hl=en,"Professor of Library and Information Science (Retired), Nanyang Technological University",Verified email at ntu.edu.sg
Goh Wooi Boon,Dilip Krishnan,/citations?user=_MEuWIMAAAAJ&hl=en,"Research Scientist, Google",Verified email at google.com
Goh Wooi Boon,Ravi S. Sharma,/citations?user=P_Q8uPYAAAAJ&hl=en,Professor of Technological Innovation @ Zayed University,Verified email at ceide.org
Goh Wooi Boon,Tung Lai Lai,/citations?user=LY9jQvIAAAAJ&hl=en,"Nanyang Business School, Nanyang Technological University",Verified email at ntu.edu.sg
Goh Wooi Boon,Ian McLoughlin,/citations?user=mcnKgPoAAAAJ&hl=en,Professor Singapore Institute of Technology (Singapore) and USTC (China),Verified email at singaporetech.edu.sg
Goh Wooi Boon,Shailendra Palvia,/citations?user=pBKFRlgAAAAJ&hl=en,"Professor of MIS, Long Island University",Verified email at liu.edu
Goh Wooi Boon,Kwan-Liu Ma,/citations?user=LgL2HpkAAAAJ&hl=en,"Professor of Computer Science, University of California at Davis",Verified email at cs.ucdavis.edu
Goh Wooi Boon,Eng-Siong Chng,/citations?user=FJodrCcAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Goh Wooi Boon,Douglas L. Maskell,/citations?user=o_roEHkAAAAJ&hl=en,Nanyang Technological University (NTU),Verified email at ntu.edu.sg
Goh Wooi Boon,Kenneth K Poon,/citations?user=OlsCIB8AAAAJ&hl=en,"National Institute of Education, Nanyang Technological University",Verified email at nie.edu.sg
Guan Cuntai,Kai Keng Ang,/citations?user=ZR0P60cAAAAJ&hl=en,"Group Leader, Senior Principal Scientist I at I2R, A*STAR; Adj. Assoc. Prof. at Nanyang",Verified email at i2r.a-star.edu.sg
Guan Cuntai,Haihong Zhang,/citations?user=0jbZBjAAAAAJ&hl=en,Institute for Infocomm Research,Verified email at i2r.a-star.edu.sg
Guan Cuntai,Vinod A Prasad,/citations?user=yhYd0_4AAAAJ&hl=en,"Professor, Information Communication Technology, Singapore Institute of Technology",Verified email at singaporetech.edu.sg
Guan Cuntai,Tihshih Lee,/citations?user=GQhFah4AAAAJ&hl=en,Duke-NUS Medical School,Verified email at duke-nus.edu.sg
Guan Cuntai,Neethu Robinson,/citations?user=RzmIFTkAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Guan Cuntai,Chai Quek,/citations?user=Tj-KsfQAAAAJ&hl=en,"School of Computer Engineering, Nanyang Technological University",Verified email at ntu.edu.sg
Guan Cuntai,Erico Tjoa,/citations?user=hh9WwAMAAAAJ&hl=en,Stanford University,Verified email at stanford.edu
Guan Cuntai,Mahnaz Arvaneh,/citations?user=HBxF7nAAAAAJ&hl=en,Senior Lecturer (Associate Professor) at University of Sheffield,Verified email at sheffield.ac.uk
Guan Cuntai,Fabien Lotte,/citations?user=bF8vZlQAAAAJ&hl=en,Inria Centre at the University of Bordeaux / LaBRI,Verified email at inria.fr
Guan Cuntai,Kavitha P Thomas,/citations?user=1k0KaIkAAAAJ&hl=en,Research Fellow,Verified email at ntu.edu.sg
Guan Cuntai,Juan Helen Zhou,/citations?user=4Z1S3_oAAAAJ&hl=en,"Associate Professor, National University of Singapore, Singapore",Verified email at nus.edu.sg
Guan Cuntai,Etienne Burdet,/citations?user=1a7buCEAAAAJ&hl=en,Imperial College London,Verified email at ic.ac.uk
Guan Cuntai,Ranganatha Sitaram,/citations?user=2nUaSXEAAAAJ&hl=en,"Professor/Member and Director, St. Jude Children’s Research Hospital",Verified email at uc.cl
Guan Cuntai,Niels Birbaumer,/citations?user=w0x8vm0AAAAJ&hl=en,University of Tübingen / Wyss Center,Verified email at uni-tuebingen.de
Guan Cuntai,Ziyuan (Jacob) ZHAO 赵子源,/citations?user=2vL2XTsAAAAJ&hl=en,"I2R, AI3, A*STAR | SCSE, NTU | ADSC, UIUC | ISS, NUS, Singapore 🇸🇬",Verified email at i2r.a-star.edu.sg
Guan Cuntai,Yi Ding,/citations?user=8SYAgGIAAAAJ&hl=en,Nanyang Technological University,Verified email at e.ntu.edu.sg
Guan Cuntai,Zeng Zeng,/citations?user=ztBsejkAAAAJ&hl=en,"I2R, A*STAR, Singapore",Verified email at i2r.a-star.edu.sg
Guan Cuntai,Luzheng Bi,/citations?user=7y-JUDQAAAAJ&hl=en,Beijing Institute of Technology,Verified email at bit.edu.cn
Guan Cuntai,Vikram Shenoy Handiru,/citations?user=pncJGKMAAAAJ&hl=en,"Research Scientist, Kessler foundation",Verified email at kesslerfoundation.org
Guan Cuntai,Mengling 'Mornin' Feng,/citations?user=F2ET1WsAAAAJ&hl=en,National University of Singapore,Verified email at nus.edu.sg
He Ying,David Xianfeng Gu,/citations?user=Y063_CIAAAAJ&hl=en,"Professor of Computer Science, Affiliate Professor of Applied Mathematics, Stony Brook",Verified email at cs.stonybrook.edu
He Ying,Shiqing Xin,/citations?user=_JaG6OwAAAAJ&hl=en,Shandong University,Verified email at sdu.edu.cn
He Ying,Hong Qin,/citations?user=NOcejj8AAAAJ&hl=en,Stony Brook University (SUNY at Stony Brook),Verified email at cs.stonybrook.edu
He Ying,Yong-Jin LIU,/citations?user=GNDtwWQAAAAJ&hl=en,"Computer Science and Technology, Tsinghua University",Verified email at tsinghua.edu.cn
He Ying,Junhui Hou,/citations?user=j6eefhwAAAAJ&hl=en,"Department of Computer Science, City University of Hong Kong",Verified email at cityu.edu.hk
He Ying,Jun Luo (罗骏),/citations?user=qXLjz30AAAAJ&hl=en,"Associate Professor of Computer Science, Nanyang Technological University, Singapore",Verified email at ntu.edu.sg
He Ying,Lap-Pui Chau,/citations?user=MYREIH0AAAAJ&hl=en,The Hong Kong Polytechnic University,Verified email at polyu.edu.hk
He Ying,Steven C.H. Hoi,/citations?user=JoLjflYAAAAJ&hl=en,Managing Director of Salesforce Research Asia; IEEE Fellow; Professor at SMU,Verified email at smu.edu.sg
He Ying,"Chi-Wing Fu, Philip",/citations?user=e5AJDrEAAAAJ&hl=en,The Chinese University of Hong Kong,Verified email at cse.cuhk.edu.hk
He Ying,Wenping Wang,/citations?user=28shvv0AAAAJ&hl=en,Texas A&M University,Verified email at tamu.edu
He Ying,Xin (Shane) Li,/citations?user=Begpk8wAAAAJ&hl=en,"Professor of Visual Computing, Texas A&M University",Verified email at tamu.edu
He Ying,Charlie C. L. Wang,/citations?user=-EXti64AAAAJ&hl=en,"Professor and Chair of Smart Manufacturing, University of Manchester",Verified email at manchester.ac.uk
He Ying,Shi-Min Hu,/citations?user=LDb4tb0AAAAJ&hl=en,Tsinghua University,Verified email at tsinghua.edu.cn
He Ying,Xiaohu Guo,/citations?user=Y4SdsvsAAAAJ&hl=en,University of Texas at Dallas,Verified email at utdallas.edu
He Ying,Jianmin Zheng,/citations?user=sGCf2k0AAAAJ&hl=en,"School of Computer Science and Engineering, Nanyang Technological University",Verified email at ntu.edu.sg
Huang Shell Ying,,,,
Hui Siu Cheung,,,,
Jagath Chandana Rajapakse,Jay Giedd,/citations?user=K92g9EgAAAAJ&hl=en,"Chief Division of Child and Adolescent Psychiatry, UC San Diego",Verified email at ucsd.edu
Jagath Chandana Rajapakse,Minh N. Nguyen,/citations?user=Z0vQJcUAAAAJ&hl=en,Senior Post Doctoral Research Fellow,Verified email at bii.a-star.edu.sg
Jagath Chandana Rajapakse,Debra Kaysen,/citations?user=8recE-YAAAAJ&hl=en,"Stanford University, Department of Psychiatry",Verified email at stanford.edu
Jagath Chandana Rajapakse,Piyushkumar Mundra,/citations?user=ErzEjoIAAAAJ&hl=en,Garvan Institute of Medical Research,Verified email at garvan.org.au
Jagath Chandana Rajapakse,F. Xavier Castellanos,/citations?user=PFDyrI4AAAAJ&hl=en,"Brooke and Daniel Neidich Professor of Child and Adolescent Psychiatry, Radiology & Neuroscience",Verified email at NYULangone.org
Jagath Chandana Rajapakse,Peter So,/citations?user=c7LLiswAAAAJ&hl=en,Massachusetts Institute of Technology,Verified email at mit.edu
Jagath Chandana Rajapakse,Shuoyu Xu,/citations?user=QDnsWToAAAAJ&hl=en,Bio-totem Pte Ltd,Verified email at bio-totem.com
Jagath Chandana Rajapakse,Hanry Yu,/citations?user=SKzFI1AAAAAJ&hl=en,National University of Singapore,Verified email at nus.edu.sg
Jagath Chandana Rajapakse,Francisco Azuaje,/citations?user=gdZUDAwAAAAJ&hl=en,Genomics England,Verified email at genomicsengland.co.uk
Jagath Chandana Rajapakse,Frithjof Kruggel,/citations?user=KvjteqEAAAAJ&hl=en,"University of California, Irvine",Verified email at uci.edu
Jagath Chandana Rajapakse,Juan Helen Zhou,/citations?user=4Z1S3_oAAAAJ&hl=en,"Associate Professor, National University of Singapore, Singapore",Verified email at nus.edu.sg
Jagath Chandana Rajapakse,Dean Tai,/citations?user=lCak9-sAAAAJ&hl=en,HistoIndex,Verified email at histoindex.com
Jagath Chandana Rajapakse,Ravinda G.N. Meegama,/citations?user=vVRGJbEAAAAJ&hl=en,University of Sri Jayewardenepura,Verified email at sjp.ac.lk
Jagath Chandana Rajapakse,Jean A. Frazier,/citations?user=GnpXcqEAAAAJ&hl=en,"Professor of Psychiatry and Pediatrics, UMASS Medical School",Verified email at umassmed.edu
Jagath Chandana Rajapakse,Jierong Cheng,/citations?user=59dIblkAAAAJ&hl=en,Institute for Infocomm Research,Verified email at i2r.a-star.edu.sg
Jagath Chandana Rajapakse,Vincent T Chow,/citations?user=7e7AUXkAAAAJ&hl=en,National University of Singapore,Verified email at nus.edu.sg
Jagath Chandana Rajapakse,"BJ Casey, Ph.D.",/citations?user=OQQzJnsAAAAJ&hl=en,"Christina L Williams Professor of Neuroscience, Barnard College-Columbia University",Verified email at barnard.edu
Jagath Chandana Rajapakse,Sukrit Gupta,/citations?user=50eQtXIAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Jagath Chandana Rajapakse,Wenting Liu,/citations?user=LSqnFVEAAAAJ&hl=en,"Ph. D. of Computer Engineering, Nanyang Technological University",Verified email at ntu.edu.sg
Jagath Chandana Rajapakse,Haiying Wang,/citations?user=jVZchGcAAAAJ&hl=en,Ulster University,Verified email at ulster.ac.uk
Joty Shafiq Rayhan,Steven C.H. Hoi,/citations?user=JoLjflYAAAAJ&hl=en,Managing Director of Salesforce Research Asia; IEEE Fellow; Professor at SMU,Verified email at smu.edu.sg
Joty Shafiq Rayhan,Giuseppe Carenini,/citations?user=HNNL22kAAAAJ&hl=en,"Professor of Computer Science, University of British Columbia",Verified email at cs.ubc.ca
Joty Shafiq Rayhan,Preslav Nakov,/citations?user=DfXsKZ4AAAAJ&hl=en,MBZUAI,Verified email at mbzuai.ac.ae
Joty Shafiq Rayhan,Caiming Xiong,/citations?user=vaSdahkAAAAJ&hl=en,Salesforce Research,Verified email at salesforce.com
Joty Shafiq Rayhan,Lluís Màrquez,/citations?user=yFNUfjsAAAAJ&hl=en,Principal Applied Scientist,Verified email at amazon.com
Joty Shafiq Rayhan,Raymond Ng,/citations?user=reYJaYMAAAAJ&hl=en,University of British Columbia,Verified email at cs.ubc.ca
Joty Shafiq Rayhan,Jianfei Cai,/citations?user=N6czCoUAAAAJ&hl=en,"Professor of Data Science & AI, Monash University",Verified email at monash.edu
Joty Shafiq Rayhan,Tasnim Mohiuddin,/citations?user=raW_wZYAAAAJ&hl=en,Nanyang Technological University,Verified email at e.ntu.edu.sg
Joty Shafiq Rayhan,Jiuxiang Gu,/citations?user=zPxKV9EAAAAJ&hl=en,"Research Scientist, Adobe Research",Verified email at adobe.com
Joty Shafiq Rayhan,Lidong Bing,/citations?user=_oYzrzAAAAAJ&hl=en,"Alibaba DAMO, Tencent, CMU, CUHK",Verified email at alibaba-inc.com
Joty Shafiq Rayhan,Alessandro Moschitti,/citations?user=vYUDlsEAAAAJ&hl=en,Principal Scientist at Amazon Alexa,Verified email at amazon.com
Joty Shafiq Rayhan,M Saiful Bari,/citations?user=xVp48HAAAAAJ&hl=en,"Ph.D. Candidate, Nanyang Technological University",Verified email at e.ntu.edu.sg
Joty Shafiq Rayhan,Jaideep Srivastava,/citations?user=Y4J5SOwAAAAJ&hl=en,"Professor, University of Minnesota",Verified email at umn.edu
Joty Shafiq Rayhan,Xuan-Phi Nguyen,/citations?user=HN8VxX4AAAAJ&hl=en,Nanyang Technological University,Verified email at e.ntu.edu.sg
Joty Shafiq Rayhan,Prathyusha Jwalapuram,/citations?user=HH1Daf4AAAAJ&hl=en,"PhD Student, Nanyang Technological University",Verified email at e.ntu.edu.sg
Joty Shafiq Rayhan,Linlin Liu,/citations?user=bNsRATcAAAAJ&hl=en,"Nanyang Technological University, Alibaba DAMO",Verified email at ntu.edu.sg
Joty Shafiq Rayhan,Akhilesh Gotmare,/citations?user=2S-aFwIAAAAJ&hl=en,Salesforce Research,Verified email at salesforce.com
Joty Shafiq Rayhan,Hassan Sajjad,/citations?user=t3BH6NkAAAAJ&hl=en,"Faculty of Computer Science, Dalhousie University",Verified email at dal.ca
Joty Shafiq Rayhan,Giovanni Da San Martino,/citations?user=URABLy0AAAAJ&hl=en,"Associate Professor, Department of Mathematics, University of Padova, Italy",Verified email at math.unipd.it
Joty Shafiq Rayhan,Alberto Barrón-Cedeño,/citations?user=0q0QVG4AAAAJ&hl=en,Università di Bologna,Verified email at unibo.it
"Ke Yiping, Kelly",Wilfred Ng,/citations?user=NJ6YPT4AAAAJ&hl=en,"Professor of Computer Science and Engineering, Hong Kong University of Science and Technology",Verified email at cse.ust.hk
"Ke Yiping, Kelly",Jeffrey Xu Yu,/citations?user=iHevumsAAAAJ&hl=en,Chinese University of Hong Kong,Verified email at se.cuhk.edu.hk
"Ke Yiping, Kelly",WEI PENGFEI,/citations?user=a94WthkAAAAJ&hl=en,"Nanyang Technological University, Singapore",Verified email at nus.edu.sg
"Ke Yiping, Kelly",Yi Wang,/citations?user=pEVxacwAAAAJ&hl=en,AI Technical Specialist at Rolls-Royce,Verified email at Rolls-Royce.com
"Ke Yiping, Kelly",Shumo Chu,/citations?user=eqZ2234AAAAJ&hl=en,NEBRA Labs,Verified email at acm.org
"Ke Yiping, Kelly",Hong Cheng,/citations?user=s3lQL7YAAAAJ&hl=en,"Professor, The Chinese University of Hong Kong",Verified email at se.cuhk.edu.hk
"Ke Yiping, Kelly",Yuzhen Huang,/citations?user=p4yGTH0AAAAJ&hl=en,MetaThe Chinese University of Hong Kong,Verified email at cse.cuhk.edu.hk
"Ke Yiping, Kelly",Linhong Zhu,/citations?user=jfrMFesAAAAJ&hl=en,Facebook;Information Sciences Institute;I^2R; Nanyang Technological University,Verified email at isi.edu
"Ke Yiping, Kelly",Ada Wai-Chee Fu,/citations?user=tcwyqtUAAAAJ&hl=en,Chinese University of Hong Kong,Verified email at cse.cuhk.edu.hk
"Ke Yiping, Kelly",Silu Huang,/citations?user=g4eZa-0AAAAJ&hl=en,"Microsoft Research, University of Illinois Urbana-Champaign",Verified email at microsoft.com
"Ke Yiping, Kelly",An Lu,/citations?user=DSqhTz8AAAAJ&hl=en,The Hong Kong University of Science and Technology,Verified email at cse.ust.hk
"Ke Yiping, Kelly",Yew-Soon Ong,/citations?user=h9oWOsEAAAAJ&hl=en,"President Chair Professor of Computer Science, A*Star AI Chief Scientist",Verified email at ntu.edu.sg
"Ke Yiping, Kelly",Hejun Wu,/citations?user=CCki0Q4AAAAJ&hl=en,Sun Yat-sen University,Verified email at mail.sysu.edu.cn
"Ke Yiping, Kelly",M. Tamer Özsu,/citations?user=dwxm_CoAAAAJ&hl=en,"University Professor, University of Waterloo",Verified email at uwaterloo.ca
"Ke Yiping, Kelly",Xuemin Lin,/citations?user=j6rglkYAAAAJ&hl=en,Chair Professor at Shanghai Jiaotong University,Verified email at cse.unsw.edu.au
"Ke Yiping, Kelly",Lei Chen,/citations?user=gtglwgYAAAAJ&hl=en,Hong Kong University of Science and Technology,Verified email at cse.ust.hk
"Ke Yiping, Kelly",Philip S. Yu,/citations?user=D0lL1r0AAAAJ&hl=en,"Professor of Computer Science, University of Illinons at Chicago",Verified email at cs.uic.edu
"Ke Yiping, Kelly",Jinfeng Li,/citations?user=d12TtFUAAAAJ&hl=en,The Chinese University of Hong Kong,Verified email at cse.cuhk.edu.hk
"Ke Yiping, Kelly",Zheng Liu,/citations?user=yQh_4kwAAAAJ&hl=en,Nanjing University of Posts and Telecommunications,Verified email at njupt.edu.cn
"Ke Yiping, Kelly",Da Yan,/citations?user=Kw71k1gAAAAJ&hl=en,The University of Alabama at Birmingham,Verified email at uab.edu
Kwoh Chee Keong,Xiaoli Li (李晓黎),/citations?user=E3yQKloAAAAJ&hl=en,"Principal Scientist and Dept Head, Institute for Infocomm Research; Adjunct Professor, NTU",Verified email at i2r.a-star.edu.sg
Kwoh Chee Keong,Wu Min,/citations?user=Hji1uWQAAAAJ&hl=en,"Senior Scientist, Institute for Infocomm Research",Verified email at i2r.a-star.edu.sg
Kwoh Chee Keong,Jie Zheng,/citations?user=evC66XkAAAAJ&hl=en,"Associate Professor, School of Information Science and Technology, ShanghaiTech University",Verified email at shanghaitech.edu.cn
Kwoh Chee Keong,Stephanus Daniel Handoko,/citations?user=AP8ur6EAAAAJ&hl=en,Singapore Management University,Verified email at smu.edu.sg
Kwoh Chee Keong,Peng Yang,/citations?user=X341DZYAAAAJ&hl=en,Meta,Verified email at fb.com
Kwoh Chee Keong,See-Kiong Ng,/citations?user=_wsommYAAAAJ&hl=en,"Institute of Data Science and School of Computing, National University of Singapore",Verified email at nus.edu.sg
Kwoh Chee Keong,Yew-Soon Ong,/citations?user=h9oWOsEAAAAJ&hl=en,"President Chair Professor of Computer Science, A*Star AI Chief Scientist",Verified email at ntu.edu.sg
Kwoh Chee Keong,Adrianto Wirawan,/citations?user=OAFqv10AAAAJ&hl=en,"Nanyang Technological University, Singapore; Johannes Gutenberg-Universität Mainz, Germany",Verified email at adriantowirawan.com
Kwoh Chee Keong,Bertil Schmidt,/citations?user=fUxQceoAAAAJ&hl=en,"Professor of Computer Science, University of Mainz",Verified email at uni-mainz.de
Kwoh Chee Keong,Limsoon Wong 黄任祥,/citations?user=Inqu8SkAAAAJ&hl=en,"KITHCT Professor of Computer Science & Professor of Pathology, National University of Singapore",Verified email at comp.nus.edu.sg
